PaperName,Author,FromSchool,Time,Url
新型人工智能技术研究及其在锅炉燃烧优化中的应用,李国强,燕山大学,2013-08-01,//cdmd.cnki.com.cn/Article/CDMD-10216-1014033441.htm
基于可拓推演方法的调控一体防误操作系统研究与应用,李功新,武汉大学,2014-05-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1014249822.htm
基于云模型的双向认知计算方法研究,许昌林,西南交通大学,2014-09-01,//cdmd.cnki.com.cn/Article/CDMD-10613-1015348598.htm
远程医疗随访服务管理研究与实证分析,王平,中国科学技术大学,2016-05-01,//cdmd.cnki.com.cn/Article/CDMD-10358-1016107363.htm
基于知识图谱的城市轨道交通建设安全管理智能知识支持研究,王莉,中国矿业大学,2019-12-01,//cdmd.cnki.com.cn/Article/CDMD-10290-1020712118.htm
基于势场法和遗传算法的机器人路径规划技术研究,刘传领,南京理工大学,2012-03-01,//cdmd.cnki.com.cn/Article/CDMD-10288-1013167460.htm
基于深层神经网络的图像识别算法研究,连自锋,北京邮电大学,2017-03-12,//cdmd.cnki.com.cn/Article/CDMD-10013-1017293603.htm
基于模式识别的双目立体视觉匹配研究,彭祺,武汉大学,2013-04-06,//cdmd.cnki.com.cn/Article/CDMD-10486-1013210620.htm
视频导航中的地图生成、障碍检测与行人人脸识别,贾宝芝,中国科学技术大学,2015-04-01,//cdmd.cnki.com.cn/Article/CDMD-10358-1015615920.htm
线性时态逻辑中若干基础问题的研究,李建文,华东师范大学,2014-05-01,//cdmd.cnki.com.cn/Article/CDMD-10269-1014326163.htm
个性化文本生成及其在推荐与对话中的应用,陈仲夏,中国科学技术大学,2020-06-29,//cdmd.cnki.com.cn/Article/CDMD-10358-1020098254.htm
数字宪治主义研究,杨学科,吉林大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1020754571.htm
基于贝叶斯网络的汽轮发电机组故障诊断方法及应用研究,陈东超,华北电力大学(北京),2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-11412-1018241459.htm
基于红外紫外成像检测技术的绝缘子运行状态分析与评估,裴少通,华北电力大学(北京),2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-11412-1019239864.htm
聋哑人手语识别关键技术研究,梁智杰,华中师范大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10511-1019253017.htm
基于人工智能的TBM选型及掘进适应性评价方法与决策支持系统,詹金武,北京交通大学,2019-06-02,//cdmd.cnki.com.cn/Article/CDMD-10004-1019209108.htm
云计算环境中面向终端用户的智能代理研究,周锐,中国科学技术大学,2014-09-18,//cdmd.cnki.com.cn/Article/CDMD-10358-1014432176.htm
氧化物半导体气体传感器的热调制特征提取及VOCs分子识别研究,刘弘禹,中国科学技术大学,2020-10-01,//cdmd.cnki.com.cn/Article/CDMD-10358-1020158791.htm
基于视觉与激光雷达混合的移动机器人局部跟踪以及全局重定位方法研究,陈永刚,广东工业大学,2020-07-01,//cdmd.cnki.com.cn/Article/CDMD-11845-1020086900.htm
“互联网+”背景下用户隐私泄露与保护研究,毛云龙,南京大学,2018-09-16,//cdmd.cnki.com.cn/Article/CDMD-10284-1019030120.htm
